index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,join_year,director,cast,country,date_added,rating,duration,listed_in,desc_len,duration_minutes,imdb_votes_log1p,is_show,is_classic,num_genres
1,tm127384,Monty Python and the Holy Grail,MOVIE,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,PG,91,tt0071853,8.199999999999998,530877.0,monty python and the holy grail,,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes",United Kingdom,"January 2, 2019",PG,92 min,"Action & Adventure, Classic Movies, Comedies",415,92.0,13.182287518647403,0,1,3
6,tm185072,My Fair Lady,MOVIE,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,1964,G,170,tt0058385,7.8,94121.0,my fair lady,,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon",United States,"April 1, 2021",G,173 min,"Classic Movies, Music & Musicals",121,173.0,11.452347092084295,0,1,2
7,tm98978,The Blue Lagoon,MOVIE,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,R,104,tt0080453,5.8,69053.0,the blue lagoon,,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",United States,"September 1, 2021",R,105 min,"Dramas, Romantic Movies",347,105.0,11.142644086196546,0,1,2
8,tm119281,Bonnie and Clyde,MOVIE,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,R,110,tt0061418,7.7,111189.0,bonnie and clyde,,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons, Denver Pyle, Dub Taylor, Evans Evans, Gene Wilder",United States,"January 1, 2021",R,111 min,"Action & Adventure, Classic Movies, Dramas",190,111.0,11.618995728697294,0,1,3
10,tm44204,The Guns of Navarone,MOVIE,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,Unknown,158,tt0054953,7.5,50150.0,the guns of navarone,,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris","United Kingdom, United States","September 1, 2021",TV-14,156 min,"Action & Adventure, Classic Movies",215,156.0,10.822793733370741,0,1,2
12,tm69997,Richard Pryor: Live in Concert,MOVIE,"Richard Pryor delivers monologues on race, sex, family and his favorite targetâ€”himself, live at the Terrace Theatre in Long Beach, California.",1979,R,78,tt0079807,8.1,5141.0,richard pryor: live in concert,,Jeff Margolis,Richard Pryor,United States,"December 1, 2016",TV-MA,79 min,Stand-Up Comedy,144,79.0,8.545197387825835,0,1,1
13,tm96649,The Long Riders,MOVIE,"The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980,R,99,tt0081071,6.9,11329.0,the long riders,,Walter Hill,"David Carradine, Keith Carradine, Robert Carradine, James Keach, Stacy Keach, Dennis Quaid, Randy Quaid, Kevin Brophy, Harry Carey Jr., Christopher Guest, Nicholas Guest, Shelby Leverington, Felice Orlandi, Pamela Reed, James Remar, Fran Ryan, Savannah Smith Boucher, Amy Stryker, James Whitmore Jr.",United States,"July 1, 2021",R,100 min,Action & Adventure,193,100.0,9.335209354022052,0,1,1
14,tm16479,White Christmas,MOVIE,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,Unknown,115,tt0047673,7.5,42373.0,white christmas,,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",United States,"November 15, 2020",TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies",221,120.0,10.654290245584235,0,1,3
15,tm135083,Cairo Station,MOVIE,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,Unknown,77,tt0051390,7.5,4385.0,cairo station,,Youssef Chahine,"Farid Shawqy, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Naima Wasfy, Said Khalil, Abdel Ghani Nagdi",Egypt,"June 18, 2020",TV-14,73 min,"Classic Movies, Dramas, International Movies",429,73.0,8.386172928977834,0,1,3
18,tm156453,FTA,MOVIE,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,R,97,tt0068562,6.2,411.0,fta,,Francine Parker,"Jane Fonda, Donald Sutherland, Pamela Donegan, Len Chandler, Michael Alaimo, Holly Near, Paul Mooney, Rita Martinson",United States,"June 15, 2021",TV-MA,104 min,Documentaries,446,104.0,6.021023349349527,0,1,1
20,tm356209,Singapore,MOVIE,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1960,Unknown,158,tt0268639,6.4,82.0,singapore,,Shakti Samanta,"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen","India, Malaysia","October 15, 2017",TV-PG,158 min,"Comedies, Dramas, International Movies",134,158.0,4.418840607796598,0,1,3
21,tm204541,Dark Waters,MOVIE,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,Unknown,120,tt0049761,6.7,590.0,dark waters,,Youssef Chahine,"Faten Hamama, Omar Sharif, Ahmed Ramzy, Hussein Riad, Ferdoos Mohammed, Aziza Helmy, Tawfik El Deken",Egypt,"June 18, 2020",TV-14,104 min,"Classic Movies, Dramas, International Movies",210,104.0,6.3818160174060985,0,1,3
24,tm76557,No Longer Kids,MOVIE,"By coincidence, Ahmad discovers that his father, Ramada Al Sokkary has a love letter in his suit case, which reveals his love to a woman other than his mother. Ahmad tries with his brothers and sister to find out the reasons that made their father look for another woman. The play shows the amusing acts the children undertake to save their family.",1979,Unknown,235,tt8312792,9.0,943.0,no longer kids,,Samir Al Asfory,"Said Saleh, Hassan Moustafa, Ahmed Zaki, Younes Shalabi, Nadia Shukri, Karima Mokhtar",Egypt,"May 21, 2020",TV-14,237 min,"Comedies, Dramas, International Movies",348,237.0,6.8501261661455,0,1,3
25,tm71909,Amrapali,MOVIE,"After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",1966,Unknown,120,tt0060104,6.7,225.0,amrapali,,Lekh Tandon,"Vyjayantimala, Sunil Dutt, Prem Nath, Bipin Gupta, Gajanan Jagirdar, Zul Vellani, K.N. Singh, Randhir",India,"July 1, 2017",TV-PG,116 min,"Dramas, International Movies, Music & Musicals",185,116.0,5.420534999272286,0,1,3
27,tm19608,The Blazing Sun,MOVIE,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,Unknown,100,tt0044429,7.4,1219.0,the blazing sun,,Youssef Chahine,"Omar Sharif, Faten Hamama, Zaki Rostom, Farid Shawqy, Abdel-Wareth Asar, Menassa Fahmy, Abdelghany Kamar, Hamdy Gheith, Mohsen Hassanein, Rafeaa El Shal",Egypt,"June 18, 2020",TV-14,116 min,"Classic Movies, Dramas, International Movies",228,116.0,7.106606137727303,0,1,3
28,ts45948,Monty Python's Fliegender Zirkus,SHOW,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,TV-MA,43,tt0202477,8.1,2144.0,monty python's fliegender zirkus,,,"Graham Chapman, John Cleese, Eric Idle, Terry Jones, Michael Palin, Connie Booth","United Kingdom, West Germany","October 2, 2018",TV-MA,1 Season,"International TV Shows, TV Comedies",389,43.0,7.6708948313621175,1,1,2
30,tm75975,Prince,MOVIE,"To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.",1969,Unknown,152,tt0064842,6.9,168.0,prince,,Lekh Tandon,"Shammi Kapoor, Vyjayantimala, Rajendra Nath, Ajit, Helen, Leela Chitnis, Parveen Choudhary, Sudhir, Sunder, Rashid Khan",India,"June 1, 2017",TV-PG,152 min,"Dramas, International Movies, Romantic Movies",150,152.0,5.1298987149230735,0,1,3
31,tm107372,Manoranjan,MOVIE,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,Unknown,162,tt0071811,6.5,236.0,manoranjan,,Shammi Kapoor,"Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali",India,"September 1, 2017",TV-14,162 min,"Comedies, International Movies, Music & Musicals",898,162.0,5.4680601411351315,0,1,3
