feature,perm_importance_mean,perm_importance_std
type,0.048736347211956924,0.010357492460426838
imdb_votes_log1p,0.033842489940050825,0.008327411574105907
imdb_votes,0.0297292025950562,0.008238196102355582
duration_minutes,0.028972653362897192,0.00965886910363353
release_year,0.015415332183624791,0.005088142923614473
ctry_India,0.014117804056828425,0.004094986160938749
num_genres,0.013094358216309354,0.005910011279265478
is_show,0.011987763817032048,0.005686353762237843
age_TV-Y7,0.0037632421778762528,0.000379681209985331
age_Unknown,0.003143220826147619,0.003124051972475428
age_TV-MA,0.002125934138129204,0.003121876111543768
ctry_France,0.001793339903095942,0.001403801563010873
desc_len,0.0012420957542908007,0.004888552875977636
age_PG,0.0008663874517532644,0.0008163968966123093
age_TV-Y,0.0007606553338260658,0.00021032250775995982
ctry_Nigeria,0.0006035969450603085,0.0006280255318121534
ctry_Spain,0.0005491910979715075,0.0007829603496764317
ctry_South Korea,0.0004106101667076756,0.002053245864104305
is_classic,0.00031206372669782546,0.0006941194537574398
ctry_United Kingdom,0.00023507432044010402,0.0006949046351269465
ctry_Canada,0.00022583559168917188,0.00021581460993705178
age_TV-PG,0.00022480906627241892,0.0006856844014495086
age_TV-G,0.00010470559251042344,0.00010665989330591176
age_R,3.695491500365078e-05,0.0012309850373897965
runtime,0.0,0.0
age_Other,-2.1557033752167555e-05,7.612224128055943e-05
ctry_Unknown,-0.00020633160877068236,0.0018270130974326398
ctry_Philippines,-0.00031411677753150904,0.0006003585434475519
age_PG-13,-0.0003911061837891472,0.0005387635305810445
age_G,-0.000419848895458691,0.00031267600224375326
ctry_United States,-0.0005450849963045623,0.0027892150126365167
age_TV-14,-0.0007986367742465694,0.003159170287375548
ctry_Other,-0.0008858914346719704,0.0022611004380110695
ctry_Japan,-0.00187032930935373,0.002645361376616012
