feature,perm_importance_mean,perm_importance_std
imdb_votes_log1p,0.05889684743869028,0.0062243559796389715
imdb_votes,0.057355652774053856,0.006088847238171812
duration_minutes,0.05295309224689941,0.011534625067367419
type,0.04549659022162698,0.014620955486276854
release_year,0.03493501340635126,0.008610152674678483
num_genres,0.023068401639577546,0.006291801168896584
ctry_India,0.012699754839260929,0.002488898439110963
desc_len,0.009894696987389689,0.006965606890010322
ctry_South Korea,0.0070039877864196635,0.002770435151945255
is_show,0.00676273036862991,0.006927747950978461
age_Unknown,0.0035264998223802635,0.003538980768170113
ctry_Philippines,0.0018165020307845503,0.0009615042441569608
age_TV-MA,0.001718204467299239,0.0010663702634880706
ctry_United States,0.001041247324310901,0.0018700081269795127
age_R,0.0010404090820138267,0.0021462960424550657
age_PG,0.0010233947187792858,0.0007084243939713626
ctry_Unknown,0.000624283939446102,0.000643567785830955
is_classic,0.0006058682689251915,0.0001570530486833577
age_TV-Y7,0.0003716560956422921,0.00017180392839062351
ctry_United Kingdom,0.00020480176894663304,0.0006662592106132785
ctry_Canada,0.00020073409799248876,0.0002885014884895542
ctry_Japan,0.0001807149026511412,0.00026481920650852525
age_PG-13,0.00014031703022843178,0.0004930348227816118
ctry_Spain,4.5202061404797654e-05,3.241360467767428e-05
ctry_Other,3.962918741347021e-05,0.0013468201499259413
is_high,0.0,4.965068306494546e-17
runtime,-5.551115123125783e-18,5.5232898094427217e-17
age_Other,-2.6223003540881694e-06,3.895923517884753e-06
ctry_Nigeria,-4.468403880898975e-05,3.9050609126017415e-05
age_TV-G,-8.68312515217462e-05,0.00010801807160890192
ctry_France,-9.689197437542929e-05,0.0002151524513509074
age_G,-0.00015331504868297264,0.00020638039156767852
age_TV-Y,-0.00025279851698543074,1.5194779273220003e-05
age_TV-14,-0.00036012070866068836,0.00043760214710225197
age_TV-PG,-0.0015746149362709573,0.0006701567723847109
